"","created_date","closed_date","location_type","incident_zip","city","borough","latitude","longitude","puma","pct_fam","pct_kid","pct_old","pct_hs","pct_bachlor","pct_usborn","pct_nyborn","pct_diffstateborn","pct_difflang","pct_english_not_great","avg_size","pct_vacant","pct_female","pct_under_5","pct_5to9","pct_10to14","pct_15to19","pct_20to24","pct_25to35","pct_35to44","pct_45to54","pct_55to59","pct_60to64","pct_65to74","pct_74to84","pct_85plus","pct_white","pct_black","pct_americanindian","pct_asian","pct_nativeislander","pct_hispanic","median_age","median_household_income","mean_household_income","median_income","percent_unemployed","percent_poverty_line","time_complete","num_of_incidents","modal_location","avg_time_complete"
"32",2015-12-31 00:23:00,2015-12-31 16:28:00,"Residential Building/House",11234,"BROOKLYN","BROOKLYN",40.63333681,-73.92071208,4009,"75.40%","38.70%","26.70%","31.10%","17.90%","56.10%","52.10%","4.00%","31.30%","15.30%",3.04,"6.70%","53.60%","6.20%","6.50%","6.40%","7.50%","7.80%","13.40%","12.40%","14.80%","7.30%","6.00%","6.70%","3.60%","1.50%","27.50%","65.40%","0.40%","4.10%","0.10%","8.20%",36.9,"61,273","74,512","35,847","6.80%","12.40%",965,3262,"Residential Building/House",220.719717877952
"33",2015-12-31 15:17:00,2015-12-31 17:48:00,"Residential Building/House",11203,"BROOKLYN","BROOKLYN",40.65692075,-73.92594607,4010,"69.50%","37.40%","26.40%","36.20%","13.10%","45.40%","40.20%","5.20%","20.00%","8.90%",2.88,"10.00%","55.30%","6.60%","5.80%","6.50%","6.90%","7.20%","13.90%","13.00%","14.70%","6.60%","6.30%","7.40%","3.60%","1.40%","2.90%","93.20%","0.50%","1.60%","0.20%","6.50%",37.4,"46,327","58,303","31,643","8.10%","16.70%",151,1818,"Residential Building/House",169.487616951018
"34",2015-12-31 13:50:00,2015-12-31 15:05:00,"Residential Building/House",11225,"BROOKLYN","BROOKLYN",40.66834786,-73.96052088,4011,"61.60%","32.90%","25.80%","30.30%","15.20%","54.20%","44.80%","9.50%","31.00%","11.70%",2.74,"7.40%","54.00%","7.40%","6.60%","6.60%","6.00%","8.90%","16.00%","12.60%","11.50%","7.10%","5.20%","7.20%","3.60%","1.50%","18.00%","75.30%","0.60%","2.30%","0.00%","8.80%",33.9,"38,934","50,568","29,483","11.10%","23.40%",75,2721,"Residential Building/House",223.173225450533
"35",2015-12-31 02:47:00,2015-12-31 03:23:00,"Residential Building/House",11232,"BROOKLYN","BROOKLYN",40.64414291,-73.99813342,4012,"68.40%","39.50%","19.60%","20.10%","14.50%","46.90%","39.30%","7.70%","75.10%","47.20%",3.17,"7.90%","49.00%","7.50%","7.20%","5.30%","5.80%","8.80%","20.70%","15.40%","12.20%","5.00%","3.80%","4.10%","3.00%","1.10%","40.80%","4.10%","1.80%","32.30%","N","41.20%",32.1,"41,912","60,410","22,353","7.10%","27.50%",36,2524,"Residential Building/House",338.502377179081
"36",2015-12-31 00:49:00,2015-12-31 06:23:00,"Residential Building/House",11209,"BROOKLYN","BROOKLYN",40.61752285,-74.03896639,4013,"61.20%","31.20%","27.30%","25.70%","21.10%","59.70%","53.90%","5.70%","54.50%","28.20%",2.64,"6.30%","51.60%","6.60%","5.90%","5.00%","5.90%","5.80%","16.10%","15.00%","14.20%","6.30%","5.50%","6.70%","4.90%","2.20%","68.00%","2.50%","0.60%","25.70%","0.50%","13.70%",37.8,"53,500","75,935","36,880","5.60%","15.60%",334,1225,"Residential Building/House",181.760816326531
"37",2015-12-31 03:19:00,2015-12-31 16:27:00,"Residential Building/House",11218,"BROOKLYN","BROOKLYN",40.63443053,-73.96935006,4014,"74.40%","42.80%","25.00%","32.60%","14.50%","64.20%","60.20%","4.00%","69.50%","33.20%",3.5,"6.90%","49.50%","11.00%","9.70%","8.90%","8.00%","7.70%","14.00%","10.70%","9.40%","4.80%","5.80%","4.60%","3.30%","2.10%","77.00%","2.00%","0.30%","14.40%","N","11.10%",27.8,"36,752","56,497","24,601","4.20%","31.60%",788,1410,"Residential Building/House",202.221985815603
"38",2015-12-31 00:11:00,2015-12-31 06:24:00,"Residential Building/House",11230,"BROOKLYN","BROOKLYN",40.61700536,-73.95692046,4015,"63.90%","35.00%","23.40%","26.90%","20.60%","51.80%","45.40%","6.40%","49.10%","28.40%",2.81,"7.50%","53.40%","7.50%","7.00%","6.60%","6.60%","8.20%","14.60%","13.90%","13.40%","5.60%","5.70%","5.70%","3.50%","1.50%","44.90%","36.60%","0.40%","10.00%","0.10%","14.40%",34.6,"42,144","59,936","30,036","6.80%","21.20%",373,6018,"Residential Building/House",317.105035732092
"39",2015-12-31 23:19:00,2016-01-01 00:13:00,"Residential Building/House",11229,"BROOKLYN","BROOKLYN",40.59877218,-73.95130029,4016,"65.70%","27.50%","32.00%","30.60%","23.90%","53.00%","49.80%","3.30%","55.80%","31.10%",2.55,"8.20%","52.20%","5.70%","5.30%","5.70%","5.70%","6.60%","12.50%","12.40%","15.20%","7.20%","6.50%","8.30%","5.70%","3.20%","78.30%","4.30%","0.50%","16.40%","N","6.60%",41.4,"48,206","66,796","37,059","5.60%","15.70%",54,1236,"Residential Building/House",391.199029126214
"40",2015-12-31 10:18:00,2015-12-31 10:55:00,"Park/Playground",11214,"BROOKLYN","BROOKLYN",40.60966562,-73.99974069,4017,"71.30%","31.50%","34.00%","32.50%","15.50%","43.80%","41.50%","2.30%","72.30%","48.50%",2.85,"7.80%","51.20%","5.50%","5.40%","5.20%","5.30%","6.80%","15.40%","13.90%","13.10%","6.50%","5.90%","8.90%","5.40%","2.70%","56.90%","1.50%","0.80%","36.50%","N","14.10%",39.4,"44,108","61,414","29,614","5.80%","17.40%",37,2006,"Residential Building/House",201.967098703888
"41",2015-12-31 13:52:00,2016-01-01 03:03:00,"Residential Building/House",11224,"BROOKLYN","BROOKLYN",40.57362629,-73.99503251,4018,"58.10%","22.50%","40.00%","30.00%","21.00%","43.00%","39.30%","3.60%","69.20%","47.40%",2.31,"8.50%","53.90%","4.80%","4.50%","4.50%","5.70%","6.20%","12.10%","10.80%","13.60%","6.60%","8.10%","11.40%","8.20%","3.40%","69.20%","12.60%","0.70%","15.10%","N","13.70%",46.2,"29,712","49,192","29,498","6.80%","27.30%",791,762,"Residential Building/House",247.54270696452
