"","created_date","closed_date","location_type","incident_zip","city","borough","latitude","longitude","puma","pct_fam","pct_kid","pct_old","pct_hs","pct_bachlor","pct_usborn","pct_nyborn","pct_diffstateborn","pct_difflang","pct_english_not_great","avg_size","pct_vacant","pct_female","pct_under_5","pct_5to9","pct_10to14","pct_15to19","pct_20to24","pct_25to35","pct_35to44","pct_45to54","pct_55to59","pct_60to64","pct_65to74","pct_74to84","pct_85plus","pct_white","pct_black","pct_americanindian","pct_asian","pct_nativeislander","pct_hispanic","median_age","median_household_income","mean_household_income","median_income","percent_unemployed","percent_poverty_line","time_complete","num_of_incidents","modal_location","avg_time_complete"
"11",2015-12-31 00:01:00,2015-12-31 03:48:00,"Store/Commercial",10034,"NEW YORK","MANHATTAN",40.86618344,-73.91893043,3801,"57.80%","29.40%","25.20%","18.90%","17.50%","47.60%","37.00%","10.60%","74.00%","41.30%",2.91,"5.40%","50.60%","5.90%","4.40%","4.50%","5.80%","9.50%","18.30%","14.00%","13.40%","6.70%","5.30%","6.70%","3.60%","1.80%","39.60%","14.80%","1.10%","3.50%","0.30%","71.40%",35.7,"39,535","56,557","21,807","10.30%","23.60%",227,17186,"Residential Building/House",367.23943169908
"12",2015-12-31 00:19:00,2015-12-31 00:29:00,"Club/Bar/Restaurant",10027,"NEW YORK","MANHATTAN",40.81453554,-73.95914444,3802,"50.40%","25.30%","23.90%","17.50%","19.70%","63.00%","39.20%","23.70%","50.50%","20.60%",2.58,"8.50%","55.10%","5.00%","4.00%","4.80%","8.10%","12.00%","21.50%","12.20%","11.90%","4.90%","4.50%","6.00%","3.60%","1.60%","47.50%","37.20%","1.40%","9.10%","N","38.90%",31.8,"39,840","67,795","27,624","6.30%","29.20%",10,8120,"Residential Building/House",138.578273186353
"13",2015-12-31 00:03:00,2015-12-31 00:40:00,"Residential Building/House",10026,"NEW YORK","MANHATTAN",40.79941541,-73.95337117,3803,"50.00%","29.10%","21.30%","23.90%","18.50%","75.10%","56.20%","18.90%","32.00%","12.40%",2.45,"13.10%","54.20%","6.10%","5.90%","6.30%","6.40%","8.60%","17.50%","14.90%","13.90%","6.50%","3.90%","5.70%","3.00%","1.40%","18.90%","69.00%","1.50%","4.50%","N","22.40%",34.5,"36,112","58,160","32,136","9.00%","27.90%",37,6213,"Residential Building/House",148.790626509905
"14",2015-12-31 03:23:00,2015-12-31 05:31:00,"Residential Building/House",10029,"NEW YORK","MANHATTAN",40.79078867,-73.94689841,3804,"54.80%","29.20%","24.00%","25.20%","17.00%","65.40%","53.60%","11.90%","53.90%","21.30%",2.57,"9.30%","52.50%","5.90%","5.10%","6.00%","7.60%","9.60%","18.20%","12.70%","13.30%","5.20%","4.60%","5.80%","4.10%","1.90%","31.20%","36.70%","1.10%","8.40%","0.20%","46.20%",33.2,"31,079","55,474","30,492","6.70%","30.30%",128,4377,"Residential Building/House",139.766453382084
"15",2015-12-31 00:31:00,2015-12-31 02:34:00,"Residential Building/House",10021,"NEW YORK","MANHATTAN",40.76872682,-73.95408581,3805,"40.30%","15.90%","26.30%","7.70%","38.90%","75.50%","47.60%","27.80%","25.50%","5.90%",1.86,"17.50%","56.00%","5.00%","3.90%","3.30%","2.30%","5.20%","22.20%","15.20%","12.10%","5.80%","6.20%","10.40%","6.10%","2.40%","86.40%","3.80%","0.40%","9.80%","0.30%","7.40%",40.1,"101,417","184,383","72,232","4.30%","7.10%",123,2513,"Residential Building/House",215.764331210191
"16",2015-12-31 00:28:00,2015-12-31 05:19:00,"Club/Bar/Restaurant",10025,"NEW YORK","MANHATTAN",40.80234631,-73.96810968,3806,"42.00%","18.70%","27.10%","7.60%","32.30%","76.30%","45.50%","30.80%","28.10%","7.30%",1.98,"13.90%","53.50%","6.10%","4.30%","3.40%","3.20%","4.00%","19.30%","15.70%","13.30%","6.70%","6.30%","9.50%","5.60%","2.70%","78.80%","10.50%","0.80%","9.60%","0.00%","14.30%",41,"93,258","158,798","64,364","4.70%","11.30%",291,3745,"Residential Building/House",140.395460614152
"17",2015-12-31 00:36:00,2015-12-31 06:22:00,"Residential Building/House",10019,"NEW YORK","MANHATTAN",40.76415371,-73.98278426,3807,"25.20%","9.00%","17.40%","9.20%","37.80%","71.60%","36.90%","34.70%","31.00%","8.90%",1.66,"17.50%","49.20%","3.50%","2.20%","1.60%","2.70%","8.40%","26.70%","18.10%","13.30%","6.50%","5.20%","7.00%","3.30%","1.60%","76.00%","7.50%","1.40%","14.40%","N","14.70%",38,"84,421","153,649","65,641","5.90%","12.30%",346,5759,"Street/Sidewalk",136.067905522751
"18",2015-12-31 01:13:00,2015-12-31 17:59:00,"Store/Commercial",10016,"NEW YORK","MANHATTAN",40.74729659,-73.97404398,3808,"28.50%","8.90%","21.50%","6.10%","43.50%","75.40%","40.80%","34.50%","26.80%","6.40%",1.76,"17.30%","55.00%","3.30%","2.20%","1.60%","2.50%","12.10%","28.50%","13.30%","11.30%","5.00%","5.50%","7.80%","4.80%","2.20%","78.30%","4.60%","0.50%","14.90%","N","7.80%",34.9,"96,098","147,628","70,048","4.70%","9.70%",1006,2201,"Residential Building/House",142.768985902683
"19",2015-12-31 01:02:00,2015-12-31 01:34:00,"Residential Building/House",10009,"NEW YORK","MANHATTAN",40.7324096,-73.97657192,3809,"43.50%","18.30%","24.00%","18.40%","25.90%","58.30%","37.20%","21.10%","54.20%","28.20%",2.2,"8.90%","51.80%","3.70%","3.30%","3.60%","6.30%","8.90%","20.00%","14.80%","13.70%","5.60%","6.00%","6.70%","4.90%","2.30%","44.80%","9.70%","1.00%","34.80%","0.20%","23.40%",37.9,"41,635","71,480","36,429","5.10%","25.10%",32,9059,"Residential Building/House",196.50066254417
"20",2015-12-31 03:59:00,2015-12-31 08:12:00,"Residential Building/House",10012,"NEW YORK","MANHATTAN",40.7290277,-73.99915211,3810,"32.50%","13.80%","16.80%","5.20%","43.50%","74.90%","36.90%","38.10%","26.60%","6.80%",1.84,"15.00%","51.10%","4.80%","3.00%","2.30%","3.80%","8.70%","29.80%","15.50%","10.30%","5.10%","6.00%","6.50%","3.00%","1.20%","80.50%","2.80%","0.40%","16.60%","0.10%","7.30%",34.1,"111,579","182,390","74,721","4.00%","8.30%",253,4700,"Residential Building/House",158.714468085106
"21",2015-12-31 22:30:00,2016-01-01 07:39:00,"Club/Bar/Restaurant",10308,"STATEN ISLAND","STATEN ISLAND",40.54154749,-74.1466613,3901,"77.70%","35.60%","29.20%","32.80%","19.00%","83.60%","80.00%","3.60%","21.80%","7.20%",2.88,"4.10%","50.60%","5.20%","6.00%","6.90%","6.30%","6.30%","11.80%","14.60%","15.40%","7.00%","6.50%","8.50%","4.10%","1.30%","93.10%","1.70%","0.30%","5.10%","N","9.40%",40.5,"83,973","100,484","50,836","4.50%","6.30%",549,821,"Residential Building/House",139.178484107579
